id_proceso,causa
0926620150001,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
0926620150002,"189 ROBO, INC.2 (TENTATIVA)"
0926620150003,154 INTIMIDACIÓN
0926620150005,"202 RECEPTACIÓN, INC.1"
0926620150005,"202 RECEPTACIÓN, INC.1"
0926620150006,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
0926620150007,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
0926620150008,"196 HURTO, INC.1"
0926620150009,"185 EXTORSIÓN, INC.1"
0926620150009,"185 EXTORSIÓN, INC.1"
0926620150009,"185 EXTORSIÓN, INC.1"
0926620150009,"185 EXTORSIÓN, INC.1"
0926620150011,"394 CONTRAVENCIONES DE SEGUNDA CLASE, INC.1, NUM. 2"
0926620150012,"187 ABUSO DE CONFIANZA, INC.1"
0926620150012G,DEPRECATORIO
0926620150013,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 1"
0926620150016,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500162G,DEPRECATORIO
0926620150017,"394 CONTRAVENCIONES DE SEGUNDA CLASE, INC.1, NUM. 2"
09266201500174G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
0926620150018,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 1"
09266201500186G,DEPRECATORIO
09266201500188G,DEPRECATORIO
0926620150019,140 ASESINATO (TENTATIVA)
09266201500190,"220 TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN - NUM. 1, LIETRAL A)"
09266201500192,"189 ROBO, INC.2"
09266201500193,MEDIDA CAUTELAR
09266201500194,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 4"
09266201500195,"202 RECEPTACIÓN, INC.1"
09266201500196,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500197,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500198,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 4"
09266201500199,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 4"
09266201500199G,DEPRECATORIO
09266201500200,FACTURACIÓN DE CONSUMO EXCESIVO
09266201500200G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500201,"152 LESIONES, NUM. 1"
09266201500202,"196 HURTO, INC.1"
09266201500203,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500203G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500204,154 INTIMIDACIÓN
09266201500204G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500205,DERECHOS FUNDAMENTALES DEL CONSUMIDOR
09266201500205G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500206,"152 LESIONES, NUM. 2"
09266201500206G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500207G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500208,182 CALUMNIA
09266201500209,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500209G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
0926620150021,MEDIDA CAUTELAR
09266201500210,"282 INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE, INC.1"
09266201500210G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500211,"283 ATAQUE O RESISTENCIA, INC.1"
09266201500211G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500212G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500213,209 CONTRAVENCIÓN DE HURTO
09266201500213G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500214,"396 CONTRAVENCIONES DE CUARTA CLASE, INC.1, NUM. 2"
09266201500214G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500215,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500215G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500216,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500216G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500217,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500217G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500218,"394 CONTRAVENCIONES DE SEGUNDA CLASE, INC.1, NUM. 2"
09266201500218G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
09266201500219,"393 CONTRAVENCIONES DE PRIMERA CLASE, INC.1, NUM. 4"
09266201500219G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
