descripcion,causa
108/02/201009905-2010-0001P DEPRECATORIO,99052010000
212/01/201009905-2010-0009  ROBO,99052010000
312/01/201009905-2010-0008  ROBO,99052010000
411/01/201009905-2010-0007  ESTUPEFACIENTES,99052010000
508/01/201009905-2010-0006  ESTUPEFACIENTES,99052010000
607/01/201009905-2010-0005  ROBO,99052010000
707/01/201009905-2010-0004  ESTUPEFACIENTES,99052010000
805/01/201009905-2010-0003  ROBO,99052010000
904/01/201009905-2010-0001  ESTUPEFACIENTES,99052010000
1004/01/201009905-2010-0002  TENENCIA DE ARMAS,99052010000
127/01/201009905-2010-0019  ROBO,99052010001
226/01/201009905-2010-0018  TENENCIA DE ARMAS MUNICIONES EXPLOSIVOS Y ACCESORIOS,99052010001
325/01/201009905-2010-0016  ROBO,99052010001
422/01/201009905-2010-0015  ROBO,99052010001
520/01/201009905-2010-0014  TENENCIA DE ARMAS,99052010001
619/01/201009905-2010-0013  ROBO,99052010001
715/01/201009905-2010-0012  ESTUPEFACIENTES,99052010001
815/01/201009905-2010-0011  ROBO,99052010001
913/01/201009905-2010-0010  CONTRA LA ACTIVIDAD JUDICIAL,99052010001
108/02/201009905-2010-0029  TENENCIA DE ARMAS,99052010002
203/02/201009905-2010-0026  ESTUPEFACIENTES,99052010002
303/02/201009905-2010-0027  ROBO,99052010002
402/02/201009905-2010-0025  ESTUPEFACIENTES,99052010002
501/02/201009905-2010-0024  ROBO,99052010002
629/01/201009905-2010-0023  TENENCIA DE ARMAS,99052010002
728/01/201009905-2010-0022  ROBO,99052010002
827/01/201009905-2010-0020  HURTO,99052010002
927/01/201009905-2010-0021  ROBO,99052010002
119/02/201009905-2010-0039  ESTUPEFACIENTES,99052010003
218/02/201009905-2010-0038  ROBO,99052010003
317/02/201009905-2010-0037  TENENCIA DE ARMAS,99052010003
412/02/201009905-2010-0036  ROBO,99052010003
510/02/201009905-2010-0035  CONTRA LA FE PUBLICA,99052010003
610/02/201009905-2010-0032  TENENCIA DE ARMAS,99052010003
710/02/201009905-2010-0034  TENENCIA DE ARMAS,99052010003
809/02/201009905-2010-0031  ROBO,99052010003
909/02/201009905-2010-0033  ROBO,99052010003
1008/02/201009905-2010-0030  ROBO,99052010003
127/04/201009905-2010-0040  TENENCIA DE ARMAS,99052010004
203/03/201009905-2010-0049  CONTRA LA VIDA,99052010004
303/03/201009905-2010-0048  ESTUPEFACIENTES,99052010004
402/03/201009905-2010-0047  ROBO,99052010004
502/03/201009905-2010-0046  ROBO,99052010004
601/03/201009905-2010-0045  ROBO,99052010004
724/02/201009905-2010-0044  LESIONES,99052010004
823/02/201009905-2010-0043  ROBO,99052010004
922/02/201009905-2010-0041  ESTUPEFACIENTES,99052010004
1022/02/201009905-2010-0042  HURTO,99052010004
124/03/201009905-2010-0059  ROBO,99052010005
219/03/201009905-2010-0057  ESTUPEFACIENTES,99052010005
319/03/201009905-2010-0058  ESTUPEFACIENTES,99052010005
416/03/201009905-2010-0055  TENENCIA DE ARMAS,99052010005
516/03/201009905-2010-0056  DELITOS RELACIONADOS CON NARCOTRAFICO,99052010005
615/03/201009905-2010-0054  TENENCIA DE ARMAS,99052010005
710/03/201009905-2010-0053  ROBO,99052010005
809/03/201009905-2010-0051  ROBO,99052010005
909/03/201009905-2010-0052  ASOCIACION ILICITA,99052010005
1004/03/201009905-2010-0050  DELITOS RELACIONADOS CON NARCOTRAFICO,99052010005
107/04/201009905-2010-0068  ROBO,99052010006
207/04/201009905-2010-0069  ROBO,99052010006
301/04/201009905-2010-0066  ROBO,99052010006
429/03/201009905-2010-0065  ESTUPEFACIENTES,99052010006
529/03/201009905-2010-0063  ESTUPEFACIENTES,99052010006
629/03/201009905-2010-0064  ESTUPEFACIENTES,99052010006
725/03/201009905-2010-0060  OTRO,99052010006
825/03/201009905-2010-0061  TENENCIA DE ARMAS,99052010006
925/03/201009905-2010-0062  ROBO,99052010006
127/04/201009905-2010-0079  OTRO,99052010007
223/04/201009905-2010-0077  OTRO,99052010007
322/04/201009905-2010-0075  ROBO,99052010007
422/04/201009905-2010-0076  ROBO,99052010007
521/04/201009905-2010-0074  TENENCIA DE ARMAS,99052010007
615/04/201009905-2010-0073  ROBO,99052010007
714/04/201009905-2010-0072  TENENCIA DE ARMAS,99052010007
812/04/201009905-2010-0071  TENENCIA DE ARMAS,99052010007
908/04/201009905-2010-0070  TENENCIA DE ARMAS,99052010007
110/05/201009905-2010-0089  ROBO,99052010008
210/05/201009905-2010-0088  ROBO,99052010008
306/05/201009905-2010-0087  ROBO,99052010008
405/05/201009905-2010-0086  ROBO,99052010008
503/05/201009905-2010-0084  ROBO,99052010008
603/05/201009905-2010-0085  EL ROBO,99052010008
730/04/201009905-2010-0083  ROBO,99052010008
828/04/201009905-2010-0082  ROBO,99052010008
927/04/201009905-2010-0081  ROBO,99052010008
1027/04/201009905-2010-0080  TENENCIA DE ARMAS,99052010008
126/05/201009905-2010-0099  ROBO,99052010009
226/05/201009905-2010-0098  DELITOS RELACIONADOS CON NARCOTRAFICO,99052010009
325/05/201009905-2010-0097  ESTUPEFACIENTES,99052010009
419/05/201009905-2010-0095  ROBO,99052010009
514/05/201009905-2010-0093  ROBO,99052010009
613/05/201009905-2010-0091  ESTAFA Y OTRAS DEFRAUDACIONES,99052010009
713/05/201009905-2010-0092  ESTUPEFACIENTES,99052010009
811/05/201009905-2010-0090  TENENCIA DE ARMAS,99052010009
107/06/201009905-2010-0108  TENENCIA DE ARMAS,99052010010
207/06/201009905-2010-0109  TENENCIA DE ARMAS,99052010010
304/06/201009905-2010-0107  ROBO,99052010010
402/06/201009905-2010-0105  ROBO,99052010010
531/05/201009905-2010-0103  ROBO,99052010010
631/05/201009905-2010-0104  TENENCIA DE ARMAS,99052010010
727/05/201009905-2010-0101  TENENCIA DE ARMAS,99052010010
827/05/201009905-2010-0102  ROBO,99052010010
114/06/201009905-2010-0117  CONTRA LA FE MILITAR,99052010011
214/06/201009905-2010-0118  ROBO,99052010011
314/06/201009905-2010-0119  ROBO,99052010011
411/06/201009905-2010-0115  ROBO,99052010011
511/06/201009905-2010-0116  ROBO,99052010011
609/06/201009905-2010-0111  DESERCION,99052010011
709/06/201009905-2010-0112  ROBO,99052010011
809/06/201009905-2010-0113  ROBO,99052010011
909/06/201009905-2010-0114  ROBO,99052010011
1008/06/201009905-2010-0110  ROBO,99052010011
125/06/201009905-2010-0126  ROBO,99052010012
225/06/201009905-2010-0127  ASESINATO,99052010012
325/06/201009905-2010-0128  TENENCIA DE ARMAS,99052010012
425/06/201009905-2010-0129  ROBO,99052010012
524/06/201009905-2010-0124  EL ROBO,99052010012
624/06/201009905-2010-0125  ROBO,99052010012
716/06/201009905-2010-0123  ROBO,99052010012
814/06/201009905-2010-0120  HOMICIDIO,99052010012
914/06/201009905-2010-0121  CONTRA LA VIDA,99052010012
1014/06/201009905-2010-0122  HURTO,99052010012
128/06/201009905-2010-0138  TENENCIA DE ARMAS,99052010013
228/06/201009905-2010-0137  TENENCIA DE ARMAS,99052010013
328/06/201009905-2010-0139  ESTUPEFACIENTES,99052010013
425/06/201009905-2010-0130  ROBO,99052010013
525/06/201009905-2010-0131  ABUSO DE ARMAS.,99052010013
625/06/201009905-2010-0132  ROBO,99052010013
725/06/201009905-2010-0133  ESTUPEFACIENTES,99052010013
825/06/201009905-2010-0134  ESTUPEFACIENTES,99052010013
925/06/201009905-2010-0135  ROBO,99052010013
1025/06/201009905-2010-0136  ROBO,99052010013
102/07/201009905-2010-0149  ROBO,99052010014
202/07/201009905-2010-0148  TENENCIA DE ARMAS,99052010014
302/07/201009905-2010-0147  ROBO,99052010014
430/06/201009905-2010-0145  ROBO,99052010014
530/06/201009905-2010-0146  ESTUPEFACIENTES,99052010014
629/06/201009905-2010-0140  ROBO,99052010014
729/06/201009905-2010-0141  ROBO,99052010014
829/06/201009905-2010-0142  TENENCIA DE ARMAS,99052010014
929/06/201009905-2010-0143  TENENCIA DE ARMAS,99052010014
1029/06/201009905-2010-0144  ROBO,99052010014
115/07/201009905-2010-0159  ROBO,99052010015
213/07/201009905-2010-0157  ROBO,99052010015
309/07/201009905-2010-0155  ROBO,99052010015
409/07/201009905-2010-0156  ROBO,99052010015
508/07/201009905-2010-0154  USURPACION DE IDENTIDAD,99052010015
608/07/201009905-2010-0153  ROBO,99052010015
707/07/201009905-2010-0152  OTRO,99052010015
805/07/201009905-2010-0151  TENENCIA DE ARMAS,99052010015
902/07/201009905-2010-0150  TENENCIA DE ARMAS,99052010015
111/08/201009905-2010-0169  TENENCIA DE ARMAS,99052010016
227/07/201009905-2010-0167  ROBO,99052010016
327/07/201009905-2010-0168  TENENCIA DE ARMAS,99052010016
426/07/201009905-2010-0166  ROBO,99052010016
523/07/201009905-2010-0165  ROBO,99052010016
620/07/201009905-2010-0163  ROBO,99052010016
720/07/201009905-2010-0164  ROBO,99052010016
816/07/201009905-2010-0161  OTRO,99052010016
915/07/201009905-2010-0160  FALSIFICACIONES,99052010016
106/08/201009905-2010-0179  ROBO,99052010017
205/08/201009905-2010-0178  EL ROBO,99052010017
304/08/201009905-2010-0177  OTRO,99052010017
404/08/201009905-2010-0176  ROBO,99052010017
503/08/201009905-2010-0175  ESTUPEFACIENTES,99052010017
602/08/201009905-2010-0174  ROBO,99052010017
730/07/201009905-2010-0173  ROBO,99052010017
829/07/201009905-2010-0170  ROBO,99052010017
929/07/201009905-2010-0171  ROBO,99052010017
1029/07/201009905-2010-0172  ROBO,99052010017
120/08/201009905-2010-0189  ROBO,99052010018
219/08/201009905-2010-0187  HURTO,99052010018
319/08/201009905-2010-0188  ESTAFA,99052010018
418/08/201009905-2010-0186  FALSIFICACIONES,99052010018
516/08/201009905-2010-0184  ROBO,99052010018
611/08/201009905-2010-0181  LESIONES,99052010018
711/08/201009905-2010-0180  ROBO,99052010018
811/08/201009905-2010-0182  ESTUPEFACIENTES,99052010018
911/08/201009905-2010-0183  CONTRA LA VIDA,99052010018
131/08/201009905-2010-0199  OTRO,99052010019
230/08/201009905-2010-0196  OCULTACION DE BIENES,99052010019
