descripcion,causa
130/09/201009958-2010-0001HAALIMENTOS,099582010000
212/01/201009958-2010-0003  AUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
312/01/201009958-2010-0004TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
412/01/201009958-2010-0007TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
512/01/201009958-2010-0008TNALIMENTOS,099582010000
612/01/201009958-2010-0009TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
711/01/201009958-2010-0001TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
811/01/201009958-2010-0002  AUTORIZACIÓN DE SALIDA DEL PAÍS,099582010000
911/01/201009958-2010-0002TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010000
1011/01/201009958-2010-0005ANRECUPERACION DEL MENOR O ENTREGA,099582010000
1111/01/201009958-2010-0007ANCONCESION DE LA PATRIA POTESTAD,099582010000
121/12/201009958-2010-0014TNALIMENTOS CON PRESUNCIÓN DE PATERNIDAD,099582010001
215/01/201009958-2010-0013ANALIMENTOS CON PRESUNCIÓN DE PATERNIDAD,099582010001
314/01/201009958-2010-0016  AUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010001
414/01/201009958-2010-0017  AUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010001
514/01/201009958-2010-0018TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010001
613/01/201009958-2010-0015TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010001
712/01/201009958-2010-0010TNTUTORIA,099582010001
812/01/201009958-2010-0011TNALIMENTOS,099582010001
912/01/201009958-2010-0012TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010001
1011/01/201009958-2010-0019  TENENCIA,099582010001
115/01/201009958-2010-0023TNRECUPERACION DEL MENOR O ENTREGA,099582010002
215/01/201009958-2010-0029TNALIMENTOS,099582010002
314/01/201009958-2010-0020TNALIMENTOS,099582010002
414/01/201009958-2010-0021ANCONCESION DE LA PATRIA POTESTAD,099582010002
514/01/201009958-2010-0022TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010002
614/01/201009958-2010-0024TNMALTRATO INFANTIL,099582010002
714/01/201009958-2010-0026TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010002
814/01/201009958-2010-0027  AUTORIZACION DE SALIDA DEL PAIS CON OPOSICION,099582010002
914/01/201009958-2010-0028TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010002
1011/01/201009958-2010-0025  ALIMENTOS,099582010002
115/10/201009958-2010-0038TNAUTORIZACIÓN DE SALIDA DEL PAÍS,099582010003
218/01/201009958-2010-0036TNRECUPERACION DEL MENOR O ENTREGA,099582010003
315/01/201009958-2010-0030TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010003
415/01/201009958-2010-0032TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010003
515/01/201009958-2010-0037TNAUTORIZACION DE SALIDA DEL PAIS VOLUNTARIA,099582010003
614/01/201009958-2010-0033ANSUSPENSION DE PATRIA POTESTAD,099582010003
712/01/201009958-2010-0034TNCONCESION DE LA PATRIA POTESTAD,099582010003
811/01/201009958-2010-0039  TENENCIA,099582010003
115/01/201009958-2010-0041TNALIMENTOS,099582010004
215/01/201009958-2010-0048TNABANDONO DE HOGAR,099582010004
314/01/201009958-2010-0049  ABANDONO DE HOGAR,099582010004
412/01/201009958-2010-0042TNACOGIMIENTO FAMILIAR,099582010004
511/01/201009958-2010-0040TNACTA DE MEDIACION,099582010004
611/01/201009958-2010-0043  ALIMENTOS,099582010004
711/01/201009958-2010-0044TNALIMENTOS,099582010004
811/01/201009958-2010-0046TNALIMENTOS,099582010004
911/01/201009958-2010-0047  ALIMENTOS CON PRESUNCIÓN DE PATERNIDAD,099582010004
1004/01/201009958-2010-0045  ALIMENTOS,099582010004
122/01/201009958-2010-0051TNABANDONO DE HOGAR,099582010005
215/01/201009958-2010-0052TNABANDONO DE HOGAR,099582010005
315/01/201009958-2010-0053ANACCION DE PROTECCION,099582010005
415/01/201009958-2010-0054TNABANDONO DE HOGAR,099582010005
515/01/201009958-2010-0055ANRECUPERACION DEL MENOR O ENTREGA,099582010005
615/01/201009958-2010-0059  ALIMENTOS,099582010005
714/01/201009958-2010-0050TNABANDONO DE HOGAR,099582010005
811/01/201009958-2010-0057  ALIMENTOS PARA MUJER EMBARAZADA,099582010005
911/01/201009958-2010-0058TNALIMENTOS,099582010005
112/01/201009958-2010-0060TNALIMENTOS CON PRESUNCIÓN DE PATERNIDAD,099582010006
212/01/201009958-2010-0062TNALIMENTOS,099582010006
312/01/201009958-2010-0065  ALIMENTOS PARA MUJER EMBARAZADA,099582010006
412/01/201009958-2010-0066TNALIMENTOS,099582010006
512/01/201009958-2010-0067  CONSIGNACION VOLUNTARIA,099582010006
612/01/201009958-2010-0068TNALIMENTOS,099582010006
712/01/201009958-2010-0069  VENTA DE BIENES DE PERSONAS SUJETAS A GUARDA,099582010006
811/01/201009958-2010-0061  ALIMENTOS,099582010006
911/01/201009958-2010-0063  ALIMENTOS,099582010006
1011/01/201009958-2010-0064TNALIMENTOS,099582010006
129/03/201009958-2010-0077  ALIMENTOS,099582010007
205/02/201009958-2010-0074  TUTORIA,099582010007
321/01/201009958-2010-0073TNRECUPERACION DEL MENOR O ENTREGA,099582010007
414/01/201009958-2010-0076TNALIMENTOS CON PRESUNCIÓN DE PATERNIDAD,099582010007
514/01/201009958-2010-0078TNALIMENTOS,099582010007
614/01/201009958-2010-0079  ALIMENTOS,099582010007
713/01/201009958-2010-0070TNALIMENTOS,099582010007
813/01/201009958-2010-0072TNALIMENTOS,099582010007
913/01/201009958-2010-0075TNABANDONO DE HOGAR,099582010007
129/03/201009958-2010-0086  ALIMENTOS,099582010008
218/01/201009958-2010-0081  ALIMENTOS,099582010008
317/01/201009958-2010-0087TIACCIDENTE DE TRANSITO - LESIONES,099582010008
415/01/201009958-2010-0080TNREGULACION DE VISITAS,099582010008
515/01/201009958-2010-0082TNALIMENTOS,099582010008
