iddep,estado
9000,listo
9001,listo
9002,listo
9003,listo
9004,listo
9005,listo
9006,listo
9007,listo
9008,listo
9009,listo
9010,listo
9011,listo
9012,listo
9013,listo
9014,listo
9015,listo
9016,listo
9017,listo
9018,listo
9019,listo
9020,listo
9021,listo
9022,listo
9023,listo
9024,listo
9025,listo
9026,listo
9027,listo
9028,listo
9029,listo
9030,listo
9031,listo
9032,listo
9033,listo
9034,listo
9035,listo
9036,listo
9037,listo
9038,listo
9039,listo
9040,listo
9041,listo
9042,listo
9043,listo
9044,listo
9045,listo
9046,listo
9047,listo
9048,listo
9049,listo
9050,listo
9051,listo
9052,listo
9053,listo
9054,listo
9055,listo
9056,listo
9057,listo
9058,listo
9059,listo
9060,listo
9061,listo
9062,listo
9063,listo
9064,listo
9065,listo
9066,listo
9067,listo
9068,listo
9069,listo
9070,listo
9071,listo
9072,listo
9073,listo
9074,listo
9075,listo
9076,listo
9077,listo
9078,listo
9079,listo
9080,listo
9081,listo
9082,listo
9083,listo
9084,listo
9085,listo
9086,listo
9087,listo
9088,listo
9089,listo
9090,listo
9091,listo
9092,listo
9093,listo
9094,listo
9095,listo
9096,listo
9097,listo
9098,listo
9099,listo
9100,listo
9101,listo
9102,listo
9103,listo
9104,listo
9105,listo
9106,listo
9107,listo
9108,listo
9109,listo
9110,listo
9111,listo
9112,listo
9113,listo
9114,listo
9115,listo
9116,listo
9117,listo
9118,listo
9119,listo
9120,listo
9121,listo
9122,listo
9123,listo
9124,listo
9125,listo
9126,listo
9127,listo
9128,listo
9129,listo
9130,listo
9131,listo
9132,listo
9133,listo
9134,listo
9135,listo
9136,listo
9137,listo
9138,listo
9139,listo
9140,listo
9141,listo
9142,listo
9143,listo
9144,listo
9145,listo
9146,listo
9147,listo
9148,listo
9149,listo
9150,listo
9151,listo
9152,listo
9153,listo
9154,listo
9155,listo
9156,listo
9157,listo
9158,listo
9159,listo
9160,listo
9161,listo
9162,listo
9163,listo
9164,listo
9165,listo
9166,listo
9167,listo
9168,listo
9169,listo
9170,listo
9171,listo
9172,listo
9173,listo
9174,listo
9175,listo
9176,listo
9177,listo
9178,listo
9179,listo
9180,listo
9181,listo
9182,listo
9183,listo
9184,listo
9185,listo
9186,listo
9187,listo
9188,listo
9189,listo
9190,listo
9191,listo
9192,listo
9193,listo
9194,listo
9195,listo
9196,listo
