iddep,estado
9334,listo
9335,listo
9336,listo
9337,listo
9338,listo
9339,listo
9340,listo
9341,listo
9342,listo
9343,listo
9344,listo
9345,listo
9346,listo
9347,listo
9348,listo
9349,listo
9350,listo
9351,por completar
9352,por completar
9353,por completar
9354,por completar
9355,por completar
9356,por completar
9357,por completar
9358,por completar
9359,por completar
9360,por completar
9361,por completar
9362,por completar
9363,por completar
9364,por completar
9365,por completar
9366,por completar
9367,por completar
9368,por completar
9369,por completar
9370,por completar
9371,por completar
9372,por completar
9373,por completar
9374,por completar
9375,por completar
9376,por completar
9377,por completar
9378,por completar
9379,por completar
9380,por completar
9381,por completar
9382,por completar
9383,por completar
9384,por completar
9385,por completar
9386,por completar
9387,por completar
9388,por completar
9389,por completar
9390,por completar
9391,por completar
9392,por completar
9393,por completar
9394,por completar
9395,por completar
9396,por completar
9397,por completar
9398,por completar
9399,por completar
9400,por completar
9401,por completar
9402,por completar
9403,por completar
9404,por completar
9405,por completar
9406,por completar
9407,por completar
9408,por completar
9409,por completar
9410,por completar
9411,por completar
9412,por completar
9413,por completar
9414,por completar
9415,por completar
9416,por completar
9417,por completar
9418,por completar
9419,por completar
9420,por completar
9421,por completar
9422,por completar
9423,por completar
9424,por completar
9425,por completar
9426,por completar
9427,por completar
9428,por completar
9429,por completar
9430,por completar
9431,por completar
9432,por completar
9433,por completar
9434,por completar
9435,por completar
9436,por completar
9437,por completar
9438,por completar
9439,por completar
9440,por completar
9441,por completar
9442,por completar
9443,por completar
9444,por completar
9445,por completar
9446,por completar
9447,por completar
9448,por completar
9449,por completar
9450,por completar
9451,por completar
9452,por completar
9453,por completar
9454,por completar
9455,por completar
9456,por completar
9457,por completar
9458,por completar
9459,por completar
9460,por completar
9461,por completar
9462,por completar
9463,por completar
9464,por completar
9465,por completar
9466,por completar
9467,por completar
9468,por completar
9469,por completar
9470,por completar
9471,por completar
9472,por completar
9473,por completar
9474,por completar
9475,por completar
9476,por completar
9477,por completar
9478,por completar
9479,por completar
9480,por completar
9481,por completar
9482,por completar
9483,por completar
9484,por completar
9485,por completar
9486,por completar
9487,por completar
9488,por completar
9489,por completar
9490,por completar
9491,por completar
9492,por completar
9493,por completar
9494,por completar
9495,por completar
9496,por completar
9497,por completar
9498,por completar
9499,por completar
9500,por completar
